BC,645.8,216.0,3.1,0.9,3.5,8363.9,0.6,1123.5
GH,2611.5,1081.1,84.2,1.8,3.6,763.4,397.6,1746.1
WG,1350.2,12.7,3.1,0.2,0.3,5.3,3.0,155.7
RP,60798,404,25.8,0,0,293.4,1955.6,7347.0
HR,48379.4,353.0,8.6,0.0,0.0,515.9,1278.1,5771.0
SM,74232.8,200.9,24.6,2.3,4.7,184.8,1358.6,8235.5

