"timestep","walk-area","date","rain","temp","Ep","Qt","qt","qo","qs","qv","Smean"
374,"GH","2014-01-09",4.52e-03,6.15e+00,4.1e-04,6.891e+04,2.959e-03,1.462e-04,2.813e-03,3.947e-03,2.104e-02
375,"GH","2014-01-10",2.66e-03,6.13e+00,4.13e-04,8.13e+04,3.491e-03,9.297e-05,3.398e-03,2.162e-03,2.228e-02
376,"GH","2014-01-11",1.76e-04,3.7e+00,3.59e-04,6.44e+04,2.765e-03,0e+00,2.765e-03,0e+00,2.504e-02
377,"GH","2014-01-12",5.21e-03,3.12e+00,3.49e-04,4.313e+04,1.852e-03,1.075e-04,1.744e-03,4.515e-03,2.227e-02
378,"GH","2014-01-13",8.27e-04,5.36e+00,4.05e-04,6.472e+04,2.779e-03,1.088e-05,2.768e-03,4.678e-04,2.457e-02
379,"GH","2014-01-14",3.22e-03,4.16e+00,3.8e-04,4.543e+04,1.951e-03,6.41e-05,1.887e-03,2.756e-03,2.37e-02
380,"GH","2014-01-15",8.44e-03,9e+00,5.19e-04,5.817e+04,2.498e-03,3.167e-04,2.181e-03,7.752e-03,1.813e-02
381,"GH","2014-01-16",1.42e-04,6.29e+00,4.43e-04,1.285e+05,5.519e-03,0e+00,5.519e-03,0e+00,2.365e-02
382,"GH","2014-01-17",1.56e-03,5.55e+00,4.28e-04,5.163e+04,2.217e-03,1.704e-05,2.2e-03,7.326e-04,2.512e-02
383,"GH","2014-01-18",4.12e-03,6.19e+00,4.5e-04,4.202e+04,1.804e-03,8.179e-05,1.723e-03,3.615e-03,2.323e-02
384,"GH","2014-01-19",2.31e-03,4.81e+00,4.18e-04,5.598e+04,2.404e-03,4.238e-05,2.361e-03,1.823e-03,2.376e-02
385,"GH","2014-01-20",0e+00,2.88e+00,3.75e-04,5.027e+04,2.159e-03,0e+00,2.159e-03,0e+00,2.592e-02
386,"GH","2014-01-21",7.57e-03,4.12e+00,4.1e-04,3.905e+04,1.677e-03,1.703e-04,1.506e-03,6.618e-03,2.081e-02
387,"GH","2014-01-22",5.8e-04,6.21e+00,4.72e-04,8.24e+04,3.538e-03,7.018e-06,3.531e-03,1.632e-04,2.418e-02
388,"GH","2014-01-23",2.51e-03,4.78e+00,4.38e-04,4.799e+04,2.061e-03,4.632e-05,2.014e-03,1.992e-03,2.42e-02
389,"GH","2014-01-24",9.63e-03,5.61e+00,4.67e-04,5.548e+04,2.382e-03,3.753e-04,2.007e-03,8.839e-03,1.737e-02
390,"GH","2014-01-25",3.83e-03,6.94e+00,5.13e-04,1.517e+05,6.513e-03,2.471e-04,6.266e-03,3.144e-03,2.049e-02
391,"GH","2014-01-26",1.49e-02,4.68e+00,4.52e-04,1.235e+05,5.303e-03,1.579e-03,3.724e-03,1.279e-02,1.142e-02
392,"GH","2014-01-27",4.9e-03,4.31e+00,4.47e-04,4.115e+05,1.767e-02,7.856e-04,1.688e-02,3.69e-03,2.462e-02
393,"GH","2014-01-28",8.56e-03,5.73e+00,4.95e-04,4.991e+04,2.143e-03,2.704e-04,1.873e-03,7.844e-03,1.865e-02
394,"GH","2014-01-29",3.76e-03,4.54e+00,4.66e-04,1.224e+05,5.257e-03,1.914e-04,5.066e-03,3.091e-03,2.062e-02
395,"GH","2014-01-30",0e+00,2.3e+00,4.1e-04,8.489e+04,3.645e-03,0e+00,3.645e-03,0e+00,2.427e-02
396,"GH","2014-01-31",1.15e-02,4.13e+00,4.66e-04,5.737e+04,2.463e-03,4.777e-04,1.985e-03,1.015e-02,1.61e-02
397,"GH","2014-02-01",3.35e-03,5.38e+00,5.1e-04,1.85e+05,7.942e-03,2.002e-04,7.742e-03,2.681e-03,2.116e-02
398,"GH","2014-02-02",1.62e-04,6.54e+00,5.56e-04,7.757e+04,3.331e-03,0e+00,3.331e-03,0e+00,2.449e-02
399,"GH","2014-02-03",2.68e-03,6.07e+00,5.47e-04,4.547e+04,1.952e-03,4.051e-05,1.912e-03,1.742e-03,2.466e-02
400,"GH","2014-02-04",3.68e-03,5.21e+00,5.26e-04,4.494e+04,1.93e-03,7.13e-05,1.858e-03,3.066e-03,2.346e-02
401,"GH","2014-02-05",8.76e-03,6.79e+00,5.88e-04,6.094e+04,2.616e-03,3.438e-04,2.273e-03,7.907e-03,1.782e-02
402,"GH","2014-02-06",8.36e-03,6.73e+00,5.94e-04,1.518e+05,6.52e-03,7.071e-04,5.812e-03,7.093e-03,1.654e-02
403,"GH","2014-02-07",6.75e-03,5.29e+00,5.51e-04,1.815e+05,7.792e-03,5.97e-04,7.195e-03,5.587e-03,1.815e-02
404,"GH","2014-02-08",6.52e-03,6.65e+00,6.07e-04,1.385e+05,5.948e-03,4.444e-04,5.503e-03,5.54e-03,1.811e-02
405,"GH","2014-02-09",4.04e-03,5.5e+00,5.73e-04,1.342e+05,5.761e-03,2.241e-04,5.537e-03,3.229e-03,2.042e-02
406,"GH","2014-02-10",8.3e-04,3.55e+00,5.15e-04,8.803e+04,3.78e-03,1.064e-05,3.769e-03,2.473e-04,2.394e-02
407,"GH","2014-02-11",5.55e-03,3.74e+00,5.28e-04,5.227e+04,2.244e-03,1.488e-04,2.096e-03,4.896e-03,2.114e-02
408,"GH","2014-02-12",1.28e-02,4.42e+00,5.59e-04,1.015e+05,4.356e-03,1.015e-03,3.342e-03,1.13e-02,1.318e-02
409,"GH","2014-02-13",0e+00,4.46e+00,5.68e-04,2.934e+05,1.26e-02,0e+00,1.26e-02,0e+00,2.578e-02
410,"GH","2014-02-14",1.16e-02,5.65e+00,6.2e-04,4.479e+04,1.923e-03,3.799e-04,1.543e-03,1.015e-02,1.717e-02
411,"GH","2014-02-15",6.95e-03,5.97e+00,6.41e-04,1.643e+05,7.053e-03,5.794e-04,6.474e-03,5.771e-03,1.788e-02
412,"GH","2014-02-16",0e+00,5.22e+00,6.21e-04,1.341e+05,5.758e-03,0e+00,5.758e-03,0e+00,2.364e-02
413,"GH","2014-02-17",5.34e-03,6.93e+00,6.99e-04,5.406e+04,2.321e-03,1.158e-04,2.205e-03,3.974e-03,2.187e-02
414,"GH","2014-02-18",1.62e-04,7.55e+00,7.37e-04,6.897e+04,2.961e-03,0e+00,2.961e-03,0e+00,2.483e-02
415,"GH","2014-02-19",2.93e-03,8.2e+00,7.78e-04,4.299e+04,1.846e-03,3.796e-05,1.808e-03,1.632e-03,2.5e-02
416,"GH","2014-02-20",3.32e-03,8.35e+00,7.96e-04,4.222e+04,1.813e-03,5.694e-05,1.756e-03,2.488e-03,2.427e-02
417,"GH","2014-02-21",1.06e-03,5.47e+00,6.75e-04,4.634e+04,1.99e-03,6.034e-06,1.984e-03,2.595e-04,2.6e-02
418,"GH","2014-02-22",0e+00,7.36e+00,7.69e-04,3.466e+04,1.488e-03,0e+00,1.488e-03,0e+00,2.748e-02
419,"GH","2014-02-23",1.33e-03,1.02e+01,9.32e-04,2.705e+04,1.161e-03,0e+00,1.161e-03,0e+00,2.865e-02
420,"GH","2014-02-24",4.13e-03,9.06e+00,8.78e-04,2.32e+04,9.962e-04,3.93e-05,9.569e-04,3.058e-03,2.654e-02
421,"GH","2014-02-25",1.07e-03,7.34e+00,8e-04,3.169e+04,1.361e-03,2.491e-06,1.358e-03,1.938e-04,2.771e-02
422,"GH","2014-02-26",5.52e-04,6.72e+00,7.8e-04,2.605e+04,1.119e-03,0e+00,1.119e-03,0e+00,2.883e-02
423,"GH","2014-02-27",5.26e-03,6.37e+00,7.74e-04,2.281e+04,9.794e-04,5.101e-05,9.284e-04,4.187e-03,2.557e-02
424,"GH","2014-02-28",8.57e-04,4.23e+00,6.87e-04,3.724e+04,1.599e-03,1.057e-06,1.598e-03,8.227e-05,2.708e-02
425,"GH","2014-03-01",2.36e-04,4.15e+00,6.92e-04,2.891e+04,1.241e-03,0e+00,1.241e-03,0e+00,2.833e-02
426,"GH","2014-03-02",1.22e-02,7.26e+00,8.51e-04,2.988e+04,1.283e-03,2.736e-04,1.009e-03,1.077e-02,1.856e-02
427,"GH","2014-03-03",1.37e-03,4.38e+00,7.21e-04,1.202e+05,5.16e-03,2.153e-05,5.138e-03,5.006e-04,2.32e-02
428,"GH","2014-03-04",3.42e-04,5.55e+00,7.86e-04,5.525e+04,2.372e-03,0e+00,2.372e-03,0e+00,2.557e-02
429,"GH","2014-03-05",0e+00,6.35e+00,8.37e-04,3.721e+04,1.597e-03,0e+00,1.597e-03,0e+00,2.717e-02
430,"GH","2014-03-06",9.46e-04,9.03e+00,1e-03,2.851e+04,1.224e-03,0e+00,1.224e-03,0e+00,2.839e-02
431,"GH","2014-03-07",6.03e-03,8.77e+00,9.97e-04,2.445e+04,1.05e-03,5.142e-05,9.982e-04,3.982e-03,2.541e-02
432,"GH","2014-03-08",0e+00,9.29e+00,1.04e-03,3.823e+04,1.641e-03,0e+00,1.641e-03,0e+00,2.705e-02
433,"GH","2014-03-09",0e+00,1.09e+01,1.17e-03,2.908e+04,1.249e-03,0e+00,1.249e-03,0e+00,2.83e-02
434,"GH","2014-03-10",0e+00,8.09e+00,9.94e-04,2.362e+04,1.014e-03,0e+00,1.014e-03,0e+00,2.931e-02
435,"GH","2014-03-11",0e+00,6e+00,8.84e-04,1.994e+04,8.563e-04,0e+00,8.563e-04,0e+00,3.017e-02
436,"GH","2014-03-12",0e+00,7.13e+00,9.61e-04,1.729e+04,7.424e-04,0e+00,7.424e-04,0e+00,3.091e-02
437,"GH","2014-03-13",0e+00,6.88e+00,9.58e-04,1.528e+04,6.56e-04,0e+00,6.56e-04,0e+00,3.157e-02
438,"GH","2014-03-14",0e+00,7.3e+00,9.95e-04,1.37e+04,5.881e-04,0e+00,5.881e-04,0e+00,3.216e-02
439,"GH","2014-03-15",0e+00,9.66e+00,1.17e-03,1.242e+04,5.332e-04,0e+00,5.332e-04,0e+00,3.269e-02
440,"GH","2014-03-16",0e+00,8.93e+00,1.13e-03,1.136e+04,4.878e-04,0e+00,4.878e-04,0e+00,3.318e-02
441,"GH","2014-03-17",0e+00,8.38e+00,1.1e-03,1.047e+04,4.497e-04,0e+00,4.497e-04,0e+00,3.363e-02
442,"GH","2014-03-18",3.17e-03,8.88e+00,1.15e-03,9.718e+03,4.173e-04,0e+00,4.173e-04,0e+00,3.404e-02
443,"GH","2014-03-19",0e+00,9.58e+00,1.22e-03,9.065e+03,3.892e-04,0e+00,3.892e-04,0e+00,3.443e-02
444,"GH","2014-03-20",6.27e-03,7.81e+00,1.11e-03,8.496e+03,3.648e-04,0e+00,3.648e-04,0e+00,3.48e-02
445,"GH","2014-03-21",3.55e-03,6.64e+00,1.04e-03,7.995e+03,3.433e-04,0e+00,3.433e-04,0e+00,3.514e-02
446,"GH","2014-03-22",1.96e-03,4.61e+00,9.28e-04,7.627e+03,3.275e-04,3.312e-06,3.242e-04,8.608e-04,3.46e-02
447,"GH","2014-03-23",2.6e-03,5.2e+00,9.75e-04,8.405e+03,3.609e-04,6.395e-06,3.545e-04,1.662e-03,3.33e-02
448,"GH","2014-03-24",8.4e-04,5.16e+00,9.84e-04,1.027e+04,4.408e-04,0e+00,4.408e-04,0e+00,3.374e-02
449,"GH","2014-03-25",6.1e-03,7.24e+00,1.13e-03,1.021e+04,4.383e-04,2.874e-05,4.096e-04,4.96e-03,2.919e-02
450,"GH","2014-03-26",7.38e-04,5.5e+00,1.03e-03,2.037e+04,8.744e-04,0e+00,8.744e-04,0e+00,3.006e-02
451,"GH","2014-03-27",1.79e-03,5.16e+00,1.02e-03,1.766e+04,7.584e-04,2.599e-06,7.558e-04,3.724e-04,3.044e-02
452,"GH","2014-03-28",4.11e-03,6.84e+00,1.14e-03,1.718e+04,7.379e-04,2.881e-05,7.09e-04,3.062e-03,2.809e-02
453,"GH","2014-03-29",1.63e-03,1.07e+01,1.47e-03,2.459e+04,1.056e-03,6.129e-06,1.05e-03,4.77e-04,2.866e-02
454,"GH","2014-03-30",0e+00,1.32e+01,1.74e-03,2.222e+04,9.54e-04,0e+00,9.54e-04,0e+00,2.962e-02
455,"GH","2014-03-31",7.21e-03,1.26e+01,1.71e-03,2.004e+04,8.603e-04,4.656e-05,8.138e-04,4.025e-03,2.641e-02
456,"GH","2014-04-01",4.64e-04,1.07e+01,1.54e-03,3.237e+04,1.39e-03,0e+00,1.39e-03,0e+00,2.78e-02
457,"GH","2014-04-02",3.95e-03,1.21e+01,1.7e-03,2.603e+04,1.118e-03,1.536e-05,1.102e-03,1.195e-03,2.77e-02
458,"GH","2014-04-03",6.8e-03,1.22e+01,1.73e-03,2.802e+04,1.203e-03,8.371e-05,1.12e-03,5.019e-03,2.38e-02
459,"GH","2014-04-04",2.34e-03,1.03e+01,1.55e-03,5.027e+04,2.158e-03,1.384e-05,2.144e-03,5.953e-04,2.535e-02
460,"GH","2014-04-05",3.34e-03,1.08e+01,1.62e-03,3.941e+04,1.692e-03,3.574e-05,1.656e-03,1.755e-03,2.526e-02
461,"GH","2014-04-06",1.65e-03,1.22e+01,1.78e-03,3.922e+04,1.684e-03,3.591e-07,1.684e-03,2.795e-05,2.691e-02
462,"GH","2014-04-07",4.23e-03,9.86e+00,1.56e-03,3.052e+04,1.31e-03,3.261e-05,1.278e-03,2.416e-03,2.577e-02
463,"GH","2014-04-08",7.01e-04,7.64e+00,1.37e-03,3.598e+04,1.545e-03,0e+00,1.545e-03,0e+00,2.732e-02
464,"GH","2014-04-09",0e+00,9.52e+00,1.56e-03,2.781e+04,1.194e-03,0e+00,1.194e-03,0e+00,2.851e-02
465,"GH","2014-04-10",3.21e-04,9.56e+00,1.58e-03,2.279e+04,9.786e-04,0e+00,9.786e-04,0e+00,2.949e-02
466,"GH","2014-04-11",8.77e-05,8.8e+00,1.52e-03,1.936e+04,8.313e-04,0e+00,8.313e-04,0e+00,3.032e-02
467,"GH","2014-04-12",1.85e-04,8.94e+00,1.55e-03,1.686e+04,7.238e-04,0e+00,7.238e-04,0e+00,3.104e-02
468,"GH","2014-04-13",0e+00,8.96e+00,1.57e-03,1.494e+04,6.415e-04,0e+00,6.415e-04,0e+00,3.169e-02
469,"GH","2014-04-14",0e+00,9.2e+00,1.61e-03,1.343e+04,5.765e-04,0e+00,5.765e-04,0e+00,3.226e-02
470,"GH","2014-04-15",0e+00,9.13e+00,1.62e-03,1.22e+04,5.237e-04,0e+00,5.237e-04,0e+00,3.279e-02
471,"GH","2014-04-16",0e+00,9.79e+00,1.7e-03,1.118e+04,4.799e-04,0e+00,4.799e-04,0e+00,3.327e-02
472,"GH","2014-04-17",0e+00,9.45e+00,1.69e-03,1.032e+04,4.43e-04,0e+00,4.43e-04,0e+00,3.371e-02
473,"GH","2014-04-18",0e+00,8.63e+00,1.62e-03,9.583e+03,4.115e-04,0e+00,4.115e-04,0e+00,3.412e-02
474,"GH","2014-04-19",0e+00,7.66e+00,1.54e-03,8.948e+03,3.842e-04,0e+00,3.842e-04,0e+00,3.451e-02
475,"GH","2014-04-20",1.6e-03,9.77e+00,1.77e-03,8.393e+03,3.604e-04,0e+00,3.604e-04,0e+00,3.487e-02
476,"GH","2014-04-21",1.98e-03,1.24e+01,2.11e-03,7.904e+03,3.394e-04,0e+00,3.394e-04,0e+00,3.52e-02
477,"GH","2014-04-22",2.83e-03,1.08e+01,1.92e-03,7.469e+03,3.207e-04,0e+00,3.207e-04,0e+00,3.553e-02
478,"GH","2014-04-23",3.21e-03,1.06e+01,1.91e-03,7.08e+03,3.04e-04,0e+00,3.04e-04,0e+00,3.583e-02
479,"GH","2014-04-24",3.17e-04,1.07e+01,1.94e-03,6.731e+03,2.89e-04,0e+00,2.89e-04,0e+00,3.612e-02
480,"GH","2014-04-25",4.29e-03,1.01e+01,1.9e-03,6.414e+03,2.754e-04,0e+00,2.754e-04,0e+00,3.639e-02
481,"GH","2014-04-26",1.98e-03,1.07e+01,1.98e-03,6.126e+03,2.63e-04,0e+00,2.63e-04,0e+00,3.666e-02
482,"GH","2014-04-27",6.35e-03,1.06e+01,1.98e-03,5.864e+03,2.518e-04,0e+00,2.518e-04,0e+00,3.691e-02
483,"GH","2014-04-28",0e+00,1.19e+01,2.18e-03,5.623e+03,2.414e-04,0e+00,2.414e-04,0e+00,3.715e-02
484,"GH","2014-04-29",8.32e-04,1.21e+01,2.22e-03,5.401e+03,2.319e-04,0e+00,2.319e-04,0e+00,3.738e-02
485,"GH","2014-04-30",2.97e-03,1.24e+01,2.29e-03,5.196e+03,2.231e-04,0e+00,2.231e-04,0e+00,3.761e-02
486,"GH","2014-05-01",4.58e-03,1.13e+01,2.15e-03,5.007e+03,2.15e-04,0e+00,2.15e-04,0e+00,3.782e-02
487,"GH","2014-05-02",0e+00,1e+01,2e-03,4.83e+03,2.074e-04,0e+00,2.074e-04,0e+00,3.803e-02
488,"GH","2014-05-03",0e+00,9.56e+00,1.96e-03,4.666e+03,2.004e-04,0e+00,2.004e-04,0e+00,3.823e-02
489,"GH","2014-05-04",0e+00,1.19e+01,2.29e-03,4.513e+03,1.938e-04,0e+00,1.938e-04,0e+00,3.842e-02
490,"GH","2014-05-05",2.94e-03,1.19e+01,2.31e-03,4.37e+03,1.876e-04,0e+00,1.876e-04,0e+00,3.861e-02
491,"GH","2014-05-06",1.67e-03,1.19e+01,2.32e-03,4.235e+03,1.818e-04,0e+00,1.818e-04,0e+00,3.879e-02
492,"GH","2014-05-07",5.02e-04,1.12e+01,2.24e-03,4.109e+03,1.764e-04,0e+00,1.764e-04,0e+00,3.897e-02
493,"GH","2014-05-08",4.25e-03,1.14e+01,2.29e-03,3.99e+03,1.713e-04,0e+00,1.713e-04,0e+00,3.914e-02
494,"GH","2014-05-09",3.25e-03,1.14e+01,2.31e-03,3.877e+03,1.665e-04,0e+00,1.665e-04,0e+00,3.931e-02
495,"GH","2014-05-10",9.9e-03,1.12e+01,2.29e-03,3.936e+03,1.69e-04,7.092e-06,1.619e-04,3.245e-03,3.622e-02
496,"GH","2014-05-11",6.7e-03,1.01e+01,2.16e-03,6.729e+03,2.889e-04,1.828e-05,2.707e-04,4.392e-03,3.21e-02
497,"GH","2014-05-12",2.97e-03,1.01e+01,2.17e-03,1.266e+04,5.435e-04,5.589e-06,5.379e-04,8.008e-04,3.184e-02
498,"GH","2014-05-13",2.47e-03,1.02e+01,2.21e-03,1.314e+04,5.64e-04,2.048e-06,5.62e-04,2.935e-04,3.211e-02
499,"GH","2014-05-14",0e+00,1.2e+01,2.48e-03,1.252e+04,5.374e-04,0e+00,5.374e-04,0e+00,3.265e-02
500,"GH","2014-05-15",1.34e-04,1.37e+01,2.78e-03,1.144e+04,4.914e-04,0e+00,4.914e-04,0e+00,3.314e-02
501,"GH","2014-05-16",0e+00,1.57e+01,3.15e-03,1.054e+04,4.527e-04,0e+00,4.527e-04,0e+00,3.359e-02
502,"GH","2014-05-17",0e+00,1.52e+01,3.09e-03,9.778e+03,4.198e-04,0e+00,4.198e-04,0e+00,3.401e-02
503,"GH","2014-05-18",0e+00,1.62e+01,3.31e-03,9.117e+03,3.915e-04,0e+00,3.915e-04,0e+00,3.44e-02
504,"GH","2014-05-19",2.43e-03,1.63e+01,3.34e-03,8.541e+03,3.667e-04,0e+00,3.667e-04,0e+00,3.477e-02
505,"GH","2014-05-20",7.04e-03,1.55e+01,3.2e-03,8.035e+03,3.45e-04,0e+00,3.45e-04,0e+00,3.511e-02
506,"GH","2014-05-21",1.33e-04,1.37e+01,2.89e-03,7.586e+03,3.257e-04,0e+00,3.257e-04,0e+00,3.544e-02
507,"GH","2014-05-22",7.17e-03,1.22e+01,2.64e-03,7.185e+03,3.085e-04,0e+00,3.085e-04,0e+00,3.575e-02
508,"GH","2014-05-23",8.71e-03,1.2e+01,2.63e-03,6.975e+03,2.995e-04,6.43e-06,2.93e-04,1.671e-03,3.437e-02
509,"GH","2014-05-24",1.02e-02,1.26e+01,2.73e-03,9.894e+03,4.248e-04,5.61e-05,3.687e-04,7.548e-03,2.719e-02
510,"GH","2014-05-25",8.01e-03,1.22e+01,2.68e-03,3.06e+04,1.314e-03,9.385e-05,1.22e-03,5.192e-03,2.322e-02
511,"GH","2014-05-26",1.3e-03,1.31e+01,2.85e-03,5.508e+04,2.365e-03,0e+00,2.365e-03,0e+00,2.558e-02
512,"GH","2014-05-27",9.96e-04,1.38e+01,3e-03,3.714e+04,1.595e-03,0e+00,1.595e-03,0e+00,2.718e-02
513,"GH","2014-05-28",4.46e-03,1.2e+01,2.69e-03,2.847e+04,1.222e-03,0e+00,1.222e-03,0e+00,2.84e-02
514,"GH","2014-05-29",1.7e-03,1.24e+01,2.76e-03,2.322e+04,9.971e-04,0e+00,9.971e-04,0e+00,2.94e-02
515,"GH","2014-05-30",0e+00,1.36e+01,2.99e-03,1.967e+04,8.444e-04,0e+00,8.444e-04,0e+00,3.024e-02
516,"GH","2014-05-31",0e+00,1.48e+01,3.23e-03,1.709e+04,7.336e-04,0e+00,7.336e-04,0e+00,3.097e-02
517,"GH","2014-06-01",1.04e-03,1.49e+01,3.28e-03,1.512e+04,6.492e-04,0e+00,6.492e-04,0e+00,3.162e-02
518,"GH","2014-06-02",3.15e-03,1.43e+01,3.17e-03,1.357e+04,5.826e-04,0e+00,5.826e-04,0e+00,3.221e-02
519,"GH","2014-06-03",1.99e-03,1.34e+01,3e-03,1.231e+04,5.287e-04,0e+00,5.287e-04,0e+00,3.273e-02
520,"GH","2014-06-04",7.71e-03,1.08e+01,2.56e-03,1.127e+04,4.841e-04,0e+00,4.841e-04,0e+00,3.322e-02
521,"GH","2014-06-05",2.05e-04,1.23e+01,2.82e-03,1.04e+04,4.466e-04,0e+00,4.466e-04,0e+00,3.367e-02
522,"GH","2014-06-06",0e+00,1.53e+01,3.41e-03,9.655e+03,4.145e-04,0e+00,4.145e-04,0e+00,3.408e-02
523,"GH","2014-06-07",6.54e-03,1.56e+01,3.49e-03,9.01e+03,3.869e-04,0e+00,3.869e-04,0e+00,3.447e-02
524,"GH","2014-06-08",4.82e-03,1.58e+01,3.54e-03,8.447e+03,3.627e-04,0e+00,3.627e-04,0e+00,3.483e-02
525,"GH","2014-06-09",7.56e-03,1.59e+01,3.58e-03,8.088e+03,3.473e-04,5.861e-06,3.414e-04,1.523e-03,3.365e-02
526,"GH","2014-06-10",5.29e-03,1.5e+01,3.38e-03,9.881e+03,4.243e-04,8.5e-06,4.158e-04,1.707e-03,3.236e-02
527,"GH","2014-06-11",1.8e-04,1.52e+01,3.43e-03,1.201e+04,5.156e-04,0e+00,5.156e-04,0e+00,3.287e-02
528,"GH","2014-06-12",0e+00,1.57e+01,3.54e-03,1.102e+04,4.731e-04,0e+00,4.731e-04,0e+00,3.335e-02
529,"GH","2014-06-13",0e+00,1.67e+01,3.78e-03,1.018e+04,4.372e-04,0e+00,4.372e-04,0e+00,3.378e-02
530,"GH","2014-06-14",0e+00,1.67e+01,3.79e-03,9.468e+03,4.065e-04,0e+00,4.065e-04,0e+00,3.419e-02
531,"GH","2014-06-15",9.89e-04,1.64e+01,3.71e-03,8.848e+03,3.799e-04,0e+00,3.799e-04,0e+00,3.457e-02
532,"GH","2014-06-16",8.93e-04,1.63e+01,3.7e-03,8.305e+03,3.566e-04,0e+00,3.566e-04,0e+00,3.493e-02
533,"GH","2014-06-17",2.89e-04,1.69e+01,3.83e-03,7.826e+03,3.36e-04,0e+00,3.36e-04,0e+00,3.526e-02
534,"GH","2014-06-18",6.87e-04,1.81e+01,4.13e-03,7.399e+03,3.177e-04,0e+00,3.177e-04,0e+00,3.558e-02
535,"GH","2014-06-19",0e+00,1.68e+01,3.81e-03,7.018e+03,3.013e-04,0e+00,3.013e-04,0e+00,3.588e-02
536,"GH","2014-06-20",0e+00,1.59e+01,3.62e-03,6.674e+03,2.866e-04,0e+00,2.866e-04,0e+00,3.617e-02
537,"GH","2014-06-21",0e+00,1.51e+01,3.43e-03,6.363e+03,2.732e-04,0e+00,2.732e-04,0e+00,3.644e-02
538,"GH","2014-06-22",0e+00,1.67e+01,3.78e-03,6.08e+03,2.61e-04,0e+00,2.61e-04,0e+00,3.67e-02
539,"GH","2014-06-23",0e+00,1.73e+01,3.93e-03,5.821e+03,2.499e-04,0e+00,2.499e-04,0e+00,3.695e-02
540,"GH","2014-06-24",1.14e-04,1.61e+01,3.65e-03,5.583e+03,2.397e-04,0e+00,2.397e-04,0e+00,3.719e-02
541,"GH","2014-06-25",0e+00,1.59e+01,3.59e-03,5.365e+03,2.303e-04,0e+00,2.303e-04,0e+00,3.742e-02
542,"GH","2014-06-26",7.47e-04,1.6e+01,3.62e-03,5.163e+03,2.217e-04,0e+00,2.217e-04,0e+00,3.764e-02
543,"GH","2014-06-27",1.2e-02,1.4e+01,3.18e-03,4.975e+03,2.136e-04,0e+00,2.136e-04,0e+00,3.786e-02
544,"GH","2014-06-28",4.95e-03,1.32e+01,3.02e-03,4.801e+03,2.062e-04,0e+00,2.062e-04,0e+00,3.806e-02
545,"GH","2014-06-29",5.41e-04,1.34e+01,3.06e-03,4.639e+03,1.992e-04,0e+00,1.992e-04,0e+00,3.826e-02
546,"GH","2014-06-30",0e+00,1.48e+01,3.32e-03,4.488e+03,1.927e-04,0e+00,1.927e-04,0e+00,3.845e-02
547,"GH","2014-07-01",0e+00,1.67e+01,3.72e-03,4.346e+03,1.866e-04,0e+00,1.866e-04,0e+00,3.864e-02
548,"GH","2014-07-02",0e+00,1.76e+01,3.93e-03,4.213e+03,1.809e-04,0e+00,1.809e-04,0e+00,3.882e-02
549,"GH","2014-07-03",4.1e-04,1.74e+01,3.89e-03,4.088e+03,1.755e-04,0e+00,1.755e-04,0e+00,3.9e-02
550,"GH","2014-07-04",9.16e-03,1.65e+01,3.65e-03,3.97e+03,1.704e-04,0e+00,1.704e-04,0e+00,3.917e-02
551,"GH","2014-07-05",3.86e-03,1.61e+01,3.56e-03,3.859e+03,1.657e-04,0e+00,1.657e-04,0e+00,3.933e-02
552,"GH","2014-07-06",5.28e-04,1.5e+01,3.32e-03,3.754e+03,1.612e-04,0e+00,1.612e-04,0e+00,3.949e-02
553,"GH","2014-07-07",2.6e-03,1.44e+01,3.19e-03,3.654e+03,1.569e-04,0e+00,1.569e-04,0e+00,3.965e-02
554,"GH","2014-07-08",3.74e-03,1.44e+01,3.18e-03,3.56e+03,1.528e-04,0e+00,1.528e-04,0e+00,3.98e-02
555,"GH","2014-07-09",2.36e-04,1.59e+01,3.47e-03,3.47e+03,1.49e-04,0e+00,1.49e-04,0e+00,3.995e-02
556,"GH","2014-07-10",0e+00,1.72e+01,3.73e-03,3.385e+03,1.453e-04,0e+00,1.453e-04,0e+00,4.01e-02
557,"GH","2014-07-11",0e+00,1.8e+01,3.91e-03,3.304e+03,1.419e-04,0e+00,1.419e-04,0e+00,4.024e-02
558,"GH","2014-07-12",9.12e-04,1.83e+01,3.95e-03,3.227e+03,1.386e-04,0e+00,1.386e-04,0e+00,4.038e-02
559,"GH","2014-07-13",1.5e-03,1.64e+01,3.51e-03,3.153e+03,1.354e-04,0e+00,1.354e-04,0e+00,4.051e-02
560,"GH","2014-07-14",7.21e-04,1.66e+01,3.53e-03,3.083e+03,1.324e-04,0e+00,1.324e-04,0e+00,4.065e-02
561,"GH","2014-07-15",1.36e-04,1.7e+01,3.6e-03,3.016e+03,1.295e-04,0e+00,1.295e-04,0e+00,4.078e-02
562,"GH","2014-07-16",5.55e-04,1.74e+01,3.68e-03,2.951e+03,1.267e-04,0e+00,1.267e-04,0e+00,4.09e-02
563,"GH","2014-07-17",0e+00,1.97e+01,4.21e-03,2.89e+03,1.241e-04,0e+00,1.241e-04,0e+00,4.103e-02
564,"GH","2014-07-18",5.22e-04,2.18e+01,4.78e-03,2.83e+03,1.215e-04,0e+00,1.215e-04,0e+00,4.115e-02
