# r.topmodel output file for EW2Walk
# Run time: 2016-11-21 12:55:31
#
# Qt_peak [m^3/timestep]:  Peak total flow
# tt_peak [timestep]:      Peak time for total flow
# Qt_mean [m^3/timestep]:  Mean total flow
# lnTe [ln(m^2/timestep)]: ln of the average transmissivity at the soil surface
# vch [m/timestep]:        Main channel routing velocity
# vr [m/timestep]:         Internal subcatchment routing velocity
# lambda [ln(m^2)]:        Average topographic index
# qss [m/timestep]:        Saturated subsurface flow per unit area
# qs0 [m/timestep]:        Initial subsurface flow per unit area
# ntopidxclasses:          Number of topographic index classes
# dt [h]:                  Time step
# ntimesteps:              Number of time steps
# nch:                     Number of channel segments
# delay [timestep]:        Routing delay in the main channel
# tc [timestep]:           Time of concentration
# tcsub [timestep]:        Time of concentration in the subcatchment
#
# tch [timestep]:          Routing time to the catchment outlet
# Ad [m^2]:                Difference in the contribution area
# Qt [m^3/timestep]:       Total flow
# qt [m/timestep]:         Total flow per unit area
# qo [m/timestep]:         Saturated overland flow per unit area
# qs [m/timestep]:         Subsurface flow per unit area
# qv [m/timestep]:         Vertical drainage flux from unsaturated zone
# S_mean [m]:              Mean saturation deficit

Qt_peak:         1.214e+06
tt_peak:               358
Qt_mean:         3.502e+04
lnTe:            5.178e+00
vch:             4.800e+05
vr:              2.400e+05
lambda:          7.356e+00
qss:             1.133e-01
qs0:             1.800e-03
ntopidxclasses:         30
dt:              2.400e+01
ntimesteps:            730
nch:                    11
delay:                   0
tc:                      1
tcsub:                   1

       tch
 0.000e+00
 6.300e-03
 1.260e-02
 1.890e-02
 2.520e-02
 3.150e-02
 3.780e-02
 4.410e-02
 5.040e-02
 5.670e-02
 6.300e-02

        Ad
 2.329e+07

  timestep         Qt         qt         qo         qs         qv     S_mean
       193  2.244e+03  9.637e-05  0.000e+00  9.637e-05  0.000e+00  4.252e-02
       194  2.209e+03  9.483e-05  0.000e+00  9.483e-05  0.000e+00  4.261e-02
       195  2.174e+03  9.335e-05  0.000e+00  9.335e-05  0.000e+00  4.270e-02
       196  2.140e+03  9.191e-05  0.000e+00  9.191e-05  0.000e+00  4.280e-02
       197  2.108e+03  9.051e-05  0.000e+00  9.051e-05  0.000e+00  4.289e-02
       198  2.076e+03  8.915e-05  0.000e+00  8.915e-05  0.000e+00  4.298e-02
       199  2.046e+03  8.784e-05  0.000e+00  8.784e-05  0.000e+00  4.306e-02
       200  2.016e+03  8.656e-05  0.000e+00  8.656e-05  0.000e+00  4.315e-02
       201  1.987e+03  8.532e-05  0.000e+00  8.532e-05  0.000e+00  4.323e-02
       202  1.959e+03  8.412e-05  0.000e+00  8.412e-05  0.000e+00  4.332e-02
       203  1.932e+03  8.295e-05  0.000e+00  8.295e-05  0.000e+00  4.340e-02
       204  1.905e+03  8.181e-05  0.000e+00  8.181e-05  0.000e+00  4.348e-02
       205  1.880e+03  8.070e-05  0.000e+00  8.070e-05  0.000e+00  4.356e-02
       206  1.854e+03  7.962e-05  0.000e+00  7.962e-05  0.000e+00  4.364e-02
       207  1.830e+03  7.857e-05  0.000e+00  7.857e-05  0.000e+00  4.372e-02
       208  1.806e+03  7.755e-05  0.000e+00  7.755e-05  0.000e+00  4.380e-02
       209  1.988e+03  8.538e-05  8.823e-06  7.655e-05  5.992e-03  3.788e-02
       210  4.932e+03  2.118e-04  6.581e-06  2.052e-04  2.384e-03  3.571e-02
       211  6.872e+03  2.951e-04  0.000e+00  2.951e-04  0.000e+00  3.600e-02
       212  6.561e+03  2.817e-04  8.236e-07  2.809e-04  2.141e-04  3.607e-02
       213  6.470e+03  2.778e-04  0.000e+00  2.778e-04  0.000e+00  3.634e-02
       214  6.177e+03  2.652e-04  0.000e+00  2.652e-04  0.000e+00  3.661e-02
       215  5.910e+03  2.537e-04  0.000e+00  2.537e-04  0.000e+00  3.686e-02
       216  5.665e+03  2.432e-04  0.000e+00  2.432e-04  0.000e+00  3.711e-02
       217  2.981e+04  1.280e-03  1.047e-03  2.336e-04  2.647e-02  1.087e-02
       218  4.314e+05  1.852e-02  0.000e+00  1.852e-02  0.000e+00  2.939e-02
       219  1.968e+04  8.451e-04  0.000e+00  8.451e-04  0.000e+00  3.024e-02
       220  1.710e+04  7.340e-04  0.000e+00  7.340e-04  0.000e+00  3.097e-02
       221  1.513e+04  6.495e-04  0.000e+00  6.495e-04  0.000e+00  3.162e-02
       222  1.358e+04  5.829e-04  0.000e+00  5.829e-04  0.000e+00  3.220e-02
       223  1.232e+04  5.289e-04  0.000e+00  5.289e-04  0.000e+00  3.273e-02
       224  1.128e+04  4.843e-04  0.000e+00  4.843e-04  0.000e+00  3.322e-02
       225  1.040e+04  4.467e-04  0.000e+00  4.467e-04  0.000e+00  3.366e-02
       226  9.658e+03  4.147e-04  0.000e+00  4.147e-04  0.000e+00  3.408e-02
       227  9.013e+03  3.870e-04  0.000e+00  3.870e-04  0.000e+00  3.446e-02
       228  8.450e+03  3.628e-04  0.000e+00  3.628e-04  0.000e+00  3.483e-02
       229  8.144e+03  3.497e-04  8.132e-06  3.415e-04  2.114e-03  3.306e-02
       230  1.069e+04  4.589e-04  0.000e+00  4.589e-04  0.000e+00  3.351e-02
       231  9.900e+03  4.251e-04  0.000e+00  4.251e-04  0.000e+00  3.394e-02
       232  9.223e+03  3.960e-04  0.000e+00  3.960e-04  0.000e+00  3.434e-02
       233  8.634e+03  3.707e-04  0.000e+00  3.707e-04  0.000e+00  3.471e-02
       234  8.117e+03  3.485e-04  0.000e+00  3.485e-04  0.000e+00  3.505e-02
       235  7.659e+03  3.288e-04  0.000e+00  3.288e-04  0.000e+00  3.538e-02
       236  7.250e+03  3.113e-04  0.000e+00  3.113e-04  0.000e+00  3.569e-02
       237  6.884e+03  2.956e-04  0.000e+00  2.956e-04  0.000e+00  3.599e-02
       238  6.553e+03  2.814e-04  0.000e+00  2.814e-04  0.000e+00  3.627e-02
       239  6.253e+03  2.685e-04  0.000e+00  2.685e-04  0.000e+00  3.654e-02
       240  5.979e+03  2.567e-04  0.000e+00  2.567e-04  0.000e+00  3.680e-02
       241  5.729e+03  2.460e-04  0.000e+00  2.460e-04  0.000e+00  3.704e-02
       242  5.498e+03  2.361e-04  0.000e+00  2.361e-04  0.000e+00  3.728e-02
       243  5.286e+03  2.270e-04  0.000e+00  2.270e-04  0.000e+00  3.751e-02
       244  5.090e+03  2.186e-04  0.000e+00  2.186e-04  0.000e+00  3.772e-02
       245  4.908e+03  2.107e-04  0.000e+00  2.107e-04  0.000e+00  3.794e-02
       246  4.739e+03  2.035e-04  0.000e+00  2.035e-04  0.000e+00  3.814e-02
       247  4.581e+03  1.967e-04  0.000e+00  1.967e-04  0.000e+00  3.834e-02
       248  4.433e+03  1.903e-04  0.000e+00  1.903e-04  0.000e+00  3.853e-02
       249  4.295e+03  1.844e-04  0.000e+00  1.844e-04  0.000e+00  3.871e-02
       250  4.165e+03  1.788e-04  0.000e+00  1.788e-04  0.000e+00  3.889e-02
       251  4.042e+03  1.736e-04  0.000e+00  1.736e-04  0.000e+00  3.906e-02
       252  3.927e+03  1.686e-04  0.000e+00  1.686e-04  0.000e+00  3.923e-02
       253  3.818e+03  1.639e-04  0.000e+00  1.639e-04  0.000e+00  3.940e-02
       254  3.715e+03  1.595e-04  0.000e+00  1.595e-04  0.000e+00  3.955e-02
       255  3.618e+03  1.553e-04  0.000e+00  1.553e-04  0.000e+00  3.971e-02
       256  3.525e+03  1.514e-04  0.000e+00  1.514e-04  0.000e+00  3.986e-02
       257  3.438e+03  1.476e-04  0.000e+00  1.476e-04  0.000e+00  4.001e-02
       258  3.354e+03  1.440e-04  0.000e+00  1.440e-04  0.000e+00  4.015e-02
       259  3.274e+03  1.406e-04  0.000e+00  1.406e-04  0.000e+00  4.029e-02
       260  3.199e+03  1.373e-04  0.000e+00  1.373e-04  0.000e+00  4.043e-02
       261  3.126e+03  1.342e-04  0.000e+00  1.342e-04  0.000e+00  4.057e-02
       262  3.057e+03  1.313e-04  0.000e+00  1.313e-04  0.000e+00  4.070e-02
       263  2.991e+03  1.284e-04  0.000e+00  1.284e-04  0.000e+00  4.082e-02
       264  2.928e+03  1.257e-04  0.000e+00  1.257e-04  0.000e+00  4.095e-02
       265  2.867e+03  1.231e-04  0.000e+00  1.231e-04  0.000e+00  4.107e-02
       266  2.809e+03  1.206e-04  0.000e+00  1.206e-04  0.000e+00  4.119e-02
       267  2.753e+03  1.182e-04  0.000e+00  1.182e-04  0.000e+00  4.131e-02
       268  2.699e+03  1.159e-04  0.000e+00  1.159e-04  0.000e+00  4.143e-02
       269  2.647e+03  1.137e-04  0.000e+00  1.137e-04  0.000e+00  4.154e-02
       270  2.598e+03  1.115e-04  0.000e+00  1.115e-04  0.000e+00  4.165e-02
       271  2.550e+03  1.095e-04  0.000e+00  1.095e-04  0.000e+00  4.176e-02
       272  2.504e+03  1.075e-04  0.000e+00  1.075e-04  0.000e+00  4.187e-02
       273  2.459e+03  1.056e-04  0.000e+00  1.056e-04  0.000e+00  4.198e-02
       274  2.416e+03  1.038e-04  0.000e+00  1.038e-04  0.000e+00  4.208e-02
       275  2.375e+03  1.020e-04  0.000e+00  1.020e-04  0.000e+00  4.218e-02
       276  2.342e+03  1.005e-04  2.851e-07  1.003e-04  2.557e-04  4.203e-02
       277  2.470e+03  1.060e-04  3.157e-06  1.029e-04  2.359e-03  3.977e-02
       278  3.490e+03  1.499e-04  0.000e+00  1.499e-04  0.000e+00  3.992e-02
       279  3.404e+03  1.462e-04  0.000e+00  1.462e-04  0.000e+00  4.007e-02
       280  3.322e+03  1.426e-04  0.000e+00  1.426e-04  0.000e+00  4.021e-02
       281  3.244e+03  1.393e-04  0.000e+00  1.393e-04  0.000e+00  4.035e-02
       282  3.170e+03  1.361e-04  0.000e+00  1.361e-04  0.000e+00  4.048e-02
       283  3.099e+03  1.330e-04  0.000e+00  1.330e-04  0.000e+00  4.062e-02
       284  3.031e+03  1.301e-04  0.000e+00  1.301e-04  0.000e+00  4.075e-02
       285  2.966e+03  1.273e-04  0.000e+00  1.273e-04  0.000e+00  4.087e-02
       286  2.903e+03  1.247e-04  0.000e+00  1.247e-04  0.000e+00  4.100e-02
       287  2.931e+03  1.259e-04  3.756e-06  1.221e-04  2.098e-03  3.902e-02
       288  3.953e+03  1.697e-04  0.000e+00  1.697e-04  0.000e+00  3.919e-02
       289  4.834e+03  2.076e-04  4.258e-05  1.650e-04  9.962e-03  2.940e-02
       290  1.967e+04  8.445e-04  0.000e+00  8.445e-04  0.000e+00  3.024e-02
       291  2.120e+04  9.104e-04  1.768e-04  7.336e-04  1.009e-02  2.089e-02
       292  8.369e+04  3.593e-03  1.053e-04  3.488e-03  2.449e-03  2.192e-02
       293  7.247e+04  3.111e-03  1.782e-04  2.933e-03  4.564e-03  2.029e-02
       294  1.234e+05  5.300e-03  1.451e-03  3.849e-03  1.217e-02  1.198e-02
       295  5.482e+05  2.354e-02  8.138e-03  1.540e-02  1.149e-02  1.589e-02
       296  1.896e+05  8.141e-03  1.215e-04  8.020e-03  1.501e-03  2.241e-02
       297  6.325e+04  2.716e-03  1.000e-05  2.706e-03  4.301e-04  2.469e-02
       298  4.890e+04  2.099e-03  2.478e-04  1.852e-03  7.614e-03  1.892e-02
       299  1.174e+05  5.039e-03  2.010e-04  4.838e-03  3.347e-03  2.041e-02
       300  9.183e+04  3.943e-03  1.695e-04  3.774e-03  3.699e-03  2.049e-02
       301  1.021e+05  4.385e-03  6.577e-04  3.727e-03  8.641e-03  1.557e-02
       302  1.992e+05  8.553e-03  9.837e-05  8.454e-03  1.215e-03  2.281e-02
       303  6.016e+04  2.583e-03  5.331e-05  2.530e-03  2.107e-03  2.324e-02
       304  5.550e+04  2.383e-03  2.516e-05  2.358e-03  1.082e-03  2.451e-02
       305  8.524e+04  3.660e-03  1.754e-03  1.906e-03  1.702e-02  9.402e-03
       306  6.189e+05  2.658e-02  2.928e-03  2.365e-02  6.437e-03  2.661e-02
       307  3.132e+04  1.345e-03  1.949e-06  1.343e-03  1.517e-04  2.780e-02
       308  2.564e+04  1.101e-03  0.000e+00  1.101e-03  0.000e+00  2.890e-02
       309  2.234e+04  9.593e-04  4.278e-05  9.165e-04  3.369e-03  2.645e-02
       310  4.415e+04  1.896e-03  5.166e-04  1.379e-03  1.241e-02  1.542e-02
       311  2.019e+05  8.669e-03  0.000e+00  8.669e-03  0.000e+00  2.409e-02
       312  4.876e+04  2.094e-03  4.963e-05  2.044e-03  2.134e-03  2.400e-02
       313  4.999e+04  2.146e-03  7.133e-05  2.075e-03  3.124e-03  2.295e-02
       314  5.755e+04  2.471e-03  0.000e+00  2.471e-03  0.000e+00  2.542e-02
       315  5.811e+04  2.495e-03  8.583e-04  1.637e-03  1.411e-02  1.295e-02
       316  3.058e+05  1.313e-02  4.567e-05  1.308e-02  3.102e-04  2.573e-02
       317  3.694e+04  1.586e-03  2.934e-05  1.557e-03  1.671e-03  2.561e-02
       318  3.857e+04  1.656e-03  6.981e-05  1.586e-03  3.352e-03  2.385e-02
       319  4.959e+04  2.129e-03  0.000e+00  2.129e-03  0.000e+00  2.598e-02
       320  3.478e+04  1.493e-03  0.000e+00  1.493e-03  0.000e+00  2.747e-02
       321  2.711e+04  1.164e-03  0.000e+00  1.164e-03  0.000e+00  2.863e-02
       322  2.423e+04  1.040e-03  8.150e-05  9.589e-04  5.399e-03  2.419e-02
       323  4.807e+04  2.064e-03  5.423e-05  2.010e-03  2.332e-03  2.387e-02
       324  7.167e+04  3.077e-03  9.566e-04  2.121e-03  1.343e-02  1.256e-02
       325  3.327e+05  1.429e-02  3.109e-04  1.398e-02  2.112e-03  2.442e-02
       326  4.506e+04  1.935e-03  0.000e+00  1.935e-03  0.000e+00  2.636e-02
       327  3.264e+04  1.402e-03  0.000e+00  1.402e-03  0.000e+00  2.776e-02
       328  2.584e+04  1.110e-03  0.000e+00  1.110e-03  0.000e+00  2.887e-02
       329  2.148e+04  9.222e-04  0.000e+00  9.222e-04  0.000e+00  2.979e-02
       330  1.842e+04  7.908e-04  0.000e+00  7.908e-04  0.000e+00  3.058e-02
       331  1.614e+04  6.932e-04  0.000e+00  6.932e-04  0.000e+00  3.127e-02
       332  1.438e+04  6.175e-04  0.000e+00  6.175e-04  0.000e+00  3.189e-02
       333  1.298e+04  5.571e-04  0.000e+00  5.571e-04  0.000e+00  3.245e-02
       334  1.183e+04  5.077e-04  0.000e+00  5.077e-04  0.000e+00  3.296e-02
       335  1.087e+04  4.665e-04  0.000e+00  4.665e-04  0.000e+00  3.342e-02
       336  1.005e+04  4.316e-04  0.000e+00  4.316e-04  0.000e+00  3.385e-02
       337  9.355e+03  4.017e-04  0.000e+00  4.017e-04  0.000e+00  3.426e-02
       338  8.749e+03  3.757e-04  0.000e+00  3.757e-04  0.000e+00  3.463e-02
       339  8.232e+03  3.534e-04  5.651e-07  3.529e-04  1.469e-04  3.484e-02
       340  8.000e+03  3.435e-04  2.538e-06  3.410e-04  6.595e-04  3.452e-02
       341  8.429e+03  3.619e-04  2.348e-06  3.596e-04  6.103e-04  3.427e-02
       342  8.731e+03  3.749e-04  0.000e+00  3.749e-04  0.000e+00  3.464e-02
       343  8.202e+03  3.522e-04  0.000e+00  3.522e-04  0.000e+00  3.500e-02
       344  7.735e+03  3.321e-04  0.000e+00  3.321e-04  0.000e+00  3.533e-02
       345  7.318e+03  3.142e-04  0.000e+00  3.142e-04  0.000e+00  3.564e-02
       346  6.945e+03  2.982e-04  0.000e+00  2.982e-04  0.000e+00  3.594e-02
       347  6.838e+03  2.936e-04  9.873e-06  2.837e-04  2.566e-03  3.366e-02
       348  1.063e+04  4.565e-04  4.147e-05  4.150e-04  5.893e-03  2.818e-02
       349  2.668e+04  1.146e-03  1.115e-04  1.034e-03  6.457e-03  2.276e-02
       350  6.092e+04  2.616e-03  6.227e-05  2.553e-03  2.287e-03  2.302e-02
       351  5.689e+04  2.443e-03  0.000e+00  2.443e-03  0.000e+00  2.547e-02
       352  6.003e+04  2.578e-03  9.520e-04  1.626e-03  1.478e-02  1.231e-02
       353  3.504e+05  1.504e-02  4.786e-04  1.457e-02  2.979e-03  2.390e-02
       354  5.191e+04  2.229e-03  1.170e-04  2.112e-03  4.133e-03  2.188e-02
       355  7.294e+04  3.132e-03  1.743e-04  2.958e-03  4.448e-03  2.039e-02
       356  8.987e+04  3.859e-03  6.731e-05  3.791e-03  1.565e-03  2.261e-02
       357  2.052e+05  8.810e-03  6.194e-03  2.616e-03  2.052e-02  4.710e-03
       358  1.214e+06  5.214e-02  4.521e-04  5.169e-02  8.825e-04  5.551e-02
       359  2.531e+02  1.087e-05  0.000e+00  1.087e-05  0.000e+00  5.553e-02
       360  2.768e+02  1.188e-05  1.038e-06  1.085e-05  6.442e-03  4.909e-02
       361  7.827e+02  3.361e-05  1.928e-06  3.168e-05  4.128e-03  4.500e-02
       362  1.460e+03  6.270e-05  0.000e+00  6.270e-05  0.000e+00  4.506e-02
       363  1.445e+03  6.205e-05  0.000e+00  6.205e-05  0.000e+00  4.512e-02
       364  2.096e+03  9.001e-05  2.860e-05  6.141e-05  1.295e-02  3.223e-02
       365  1.276e+04  5.477e-04  2.146e-05  5.262e-04  3.397e-03  2.936e-02
       366  2.667e+04  1.145e-03  2.959e-04  8.491e-04  1.220e-02  1.802e-02
       367  1.319e+05  5.662e-03  3.463e-05  5.627e-03  8.403e-04  2.280e-02
       368  5.991e+04  2.572e-03  3.848e-05  2.534e-03  1.757e-03  2.358e-02
       369  5.568e+04  2.391e-03  1.645e-04  2.226e-03  5.078e-03  2.073e-02
       370  9.573e+04  4.110e-03  5.295e-04  3.581e-03  7.941e-03  1.637e-02
       371  1.812e+05  7.781e-03  3.751e-04  7.406e-03  3.997e-03  1.978e-02
       372  9.868e+04  4.237e-03  4.117e-05  4.196e-03  9.572e-04  2.302e-02
       373  5.928e+04  2.545e-03  9.957e-05  2.446e-03  3.284e-03  2.218e-02
       374  6.891e+04  2.959e-03  1.462e-04  2.813e-03  3.947e-03  2.104e-02
       375  8.130e+04  3.491e-03  9.297e-05  3.398e-03  2.162e-03  2.228e-02
       376  6.440e+04  2.765e-03  0.000e+00  2.765e-03  0.000e+00  2.504e-02
       377  4.313e+04  1.852e-03  1.075e-04  1.744e-03  4.515e-03  2.227e-02
       378  6.472e+04  2.779e-03  1.088e-05  2.768e-03  4.678e-04  2.457e-02
       379  4.543e+04  1.951e-03  6.410e-05  1.887e-03  2.756e-03  2.370e-02
       380  5.817e+04  2.498e-03  3.167e-04  2.181e-03  7.752e-03  1.813e-02
       381  1.285e+05  5.519e-03  0.000e+00  5.519e-03  0.000e+00  2.365e-02
       382  5.163e+04  2.217e-03  1.704e-05  2.200e-03  7.326e-04  2.512e-02
       383  4.202e+04  1.804e-03  8.179e-05  1.723e-03  3.615e-03  2.323e-02
       384  5.598e+04  2.404e-03  4.238e-05  2.361e-03  1.823e-03  2.376e-02
       385  5.027e+04  2.159e-03  0.000e+00  2.159e-03  0.000e+00  2.592e-02
       386  3.905e+04  1.677e-03  1.703e-04  1.506e-03  6.618e-03  2.081e-02
       387  8.240e+04  3.538e-03  7.018e-06  3.531e-03  1.632e-04  2.418e-02
       388  4.799e+04  2.061e-03  4.632e-05  2.014e-03  1.992e-03  2.420e-02
       389  5.548e+04  2.382e-03  3.753e-04  2.007e-03  8.839e-03  1.737e-02
       390  1.517e+05  6.513e-03  2.471e-04  6.266e-03  3.144e-03  2.049e-02
       391  1.235e+05  5.303e-03  1.579e-03  3.724e-03  1.279e-02  1.142e-02
       392  4.115e+05  1.767e-02  7.856e-04  1.688e-02  3.690e-03  2.462e-02
       393  4.991e+04  2.143e-03  2.704e-04  1.873e-03  7.844e-03  1.865e-02
       394  1.224e+05  5.257e-03  1.914e-04  5.066e-03  3.091e-03  2.062e-02
       395  8.489e+04  3.645e-03  0.000e+00  3.645e-03  0.000e+00  2.427e-02
       396  5.737e+04  2.463e-03  4.777e-04  1.985e-03  1.015e-02  1.610e-02
       397  1.850e+05  7.942e-03  2.002e-04  7.742e-03  2.681e-03  2.116e-02
       398  7.757e+04  3.331e-03  0.000e+00  3.331e-03  0.000e+00  2.449e-02
       399  4.547e+04  1.952e-03  4.051e-05  1.912e-03  1.742e-03  2.466e-02
       400  4.494e+04  1.930e-03  7.130e-05  1.858e-03  3.066e-03  2.346e-02
       401  6.094e+04  2.616e-03  3.438e-04  2.273e-03  7.907e-03  1.782e-02
       402  1.518e+05  6.520e-03  7.071e-04  5.812e-03  7.093e-03  1.654e-02
       403  1.815e+05  7.792e-03  5.970e-04  7.195e-03  5.587e-03  1.815e-02
       404  1.385e+05  5.948e-03  4.444e-04  5.503e-03  5.540e-03  1.811e-02
       405  1.342e+05  5.761e-03  2.241e-04  5.537e-03  3.229e-03  2.042e-02
       406  8.803e+04  3.780e-03  1.064e-05  3.769e-03  2.473e-04  2.394e-02
       407  5.227e+04  2.244e-03  1.488e-04  2.096e-03  4.896e-03  2.114e-02
       408  1.015e+05  4.356e-03  1.015e-03  3.342e-03  1.130e-02  1.318e-02
       409  2.934e+05  1.260e-02  0.000e+00  1.260e-02  0.000e+00  2.578e-02
       410  4.479e+04  1.923e-03  3.799e-04  1.543e-03  1.015e-02  1.717e-02
       411  1.643e+05  7.053e-03  5.794e-04  6.474e-03  5.771e-03  1.788e-02
       412  1.341e+05  5.758e-03  0.000e+00  5.758e-03  0.000e+00  2.364e-02
       413  5.406e+04  2.321e-03  1.158e-04  2.205e-03  3.974e-03  2.187e-02
       414  6.897e+04  2.961e-03  0.000e+00  2.961e-03  0.000e+00  2.483e-02
       415  4.299e+04  1.846e-03  3.796e-05  1.808e-03  1.632e-03  2.500e-02
       416  4.222e+04  1.813e-03  5.694e-05  1.756e-03  2.488e-03  2.427e-02
       417  4.634e+04  1.990e-03  6.034e-06  1.984e-03  2.595e-04  2.600e-02
       418  3.466e+04  1.488e-03  0.000e+00  1.488e-03  0.000e+00  2.748e-02
       419  2.705e+04  1.161e-03  0.000e+00  1.161e-03  0.000e+00  2.865e-02
       420  2.320e+04  9.962e-04  3.930e-05  9.569e-04  3.058e-03  2.654e-02
       421  3.169e+04  1.361e-03  2.491e-06  1.358e-03  1.938e-04  2.771e-02
       422  2.605e+04  1.119e-03  0.000e+00  1.119e-03  0.000e+00  2.883e-02
       423  2.281e+04  9.794e-04  5.101e-05  9.284e-04  4.187e-03  2.557e-02
       424  3.724e+04  1.599e-03  1.057e-06  1.598e-03  8.227e-05  2.708e-02
       425  2.891e+04  1.241e-03  0.000e+00  1.241e-03  0.000e+00  2.833e-02
       426  2.988e+04  1.283e-03  2.736e-04  1.009e-03  1.077e-02  1.856e-02
       427  1.202e+05  5.160e-03  2.153e-05  5.138e-03  5.006e-04  2.320e-02
       428  5.525e+04  2.372e-03  0.000e+00  2.372e-03  0.000e+00  2.557e-02
       429  3.721e+04  1.597e-03  0.000e+00  1.597e-03  0.000e+00  2.717e-02
       430  2.851e+04  1.224e-03  0.000e+00  1.224e-03  0.000e+00  2.839e-02
       431  2.445e+04  1.050e-03  5.142e-05  9.982e-04  3.982e-03  2.541e-02
       432  3.823e+04  1.641e-03  0.000e+00  1.641e-03  0.000e+00  2.705e-02
       433  2.908e+04  1.249e-03  0.000e+00  1.249e-03  0.000e+00  2.830e-02
       434  2.362e+04  1.014e-03  0.000e+00  1.014e-03  0.000e+00  2.931e-02
       435  1.994e+04  8.563e-04  0.000e+00  8.563e-04  0.000e+00  3.017e-02
       436  1.729e+04  7.424e-04  0.000e+00  7.424e-04  0.000e+00  3.091e-02
       437  1.528e+04  6.560e-04  0.000e+00  6.560e-04  0.000e+00  3.157e-02
       438  1.370e+04  5.881e-04  0.000e+00  5.881e-04  0.000e+00  3.216e-02
       439  1.242e+04  5.332e-04  0.000e+00  5.332e-04  0.000e+00  3.269e-02
       440  1.136e+04  4.878e-04  0.000e+00  4.878e-04  0.000e+00  3.318e-02
       441  1.047e+04  4.497e-04  0.000e+00  4.497e-04  0.000e+00  3.363e-02
       442  9.718e+03  4.173e-04  0.000e+00  4.173e-04  0.000e+00  3.404e-02
       443  9.065e+03  3.892e-04  0.000e+00  3.892e-04  0.000e+00  3.443e-02
       444  8.496e+03  3.648e-04  0.000e+00  3.648e-04  0.000e+00  3.480e-02
       445  7.995e+03  3.433e-04  0.000e+00  3.433e-04  0.000e+00  3.514e-02
       446  7.627e+03  3.275e-04  3.312e-06  3.242e-04  8.608e-04  3.460e-02
       447  8.405e+03  3.609e-04  6.395e-06  3.545e-04  1.662e-03  3.330e-02
       448  1.027e+04  4.408e-04  0.000e+00  4.408e-04  0.000e+00  3.374e-02
       449  1.021e+04  4.383e-04  2.874e-05  4.096e-04  4.960e-03  2.919e-02
       450  2.037e+04  8.744e-04  0.000e+00  8.744e-04  0.000e+00  3.006e-02
       451  1.766e+04  7.584e-04  2.599e-06  7.558e-04  3.724e-04  3.044e-02
       452  1.718e+04  7.379e-04  2.881e-05  7.090e-04  3.062e-03  2.809e-02
       453  2.459e+04  1.056e-03  6.129e-06  1.050e-03  4.770e-04  2.866e-02
       454  2.222e+04  9.540e-04  0.000e+00  9.540e-04  0.000e+00  2.962e-02
       455  2.004e+04  8.603e-04  4.656e-05  8.138e-04  4.025e-03  2.641e-02
       456  3.237e+04  1.390e-03  0.000e+00  1.390e-03  0.000e+00  2.780e-02
       457  2.603e+04  1.118e-03  1.536e-05  1.102e-03  1.195e-03  2.770e-02
       458  2.802e+04  1.203e-03  8.371e-05  1.120e-03  5.019e-03  2.380e-02
       459  5.027e+04  2.158e-03  1.384e-05  2.144e-03  5.953e-04  2.535e-02
       460  3.941e+04  1.692e-03  3.574e-05  1.656e-03  1.755e-03  2.526e-02
       461  3.922e+04  1.684e-03  3.591e-07  1.684e-03  2.795e-05  2.691e-02
       462  3.052e+04  1.310e-03  3.261e-05  1.278e-03  2.416e-03  2.577e-02
       463  3.598e+04  1.545e-03  0.000e+00  1.545e-03  0.000e+00  2.732e-02
       464  2.781e+04  1.194e-03  0.000e+00  1.194e-03  0.000e+00  2.851e-02
       465  2.279e+04  9.786e-04  0.000e+00  9.786e-04  0.000e+00  2.949e-02
       466  1.936e+04  8.313e-04  0.000e+00  8.313e-04  0.000e+00  3.032e-02
       467  1.686e+04  7.238e-04  0.000e+00  7.238e-04  0.000e+00  3.104e-02
       468  1.494e+04  6.415e-04  0.000e+00  6.415e-04  0.000e+00  3.169e-02
       469  1.343e+04  5.765e-04  0.000e+00  5.765e-04  0.000e+00  3.226e-02
       470  1.220e+04  5.237e-04  0.000e+00  5.237e-04  0.000e+00  3.279e-02
       471  1.118e+04  4.799e-04  0.000e+00  4.799e-04  0.000e+00  3.327e-02
       472  1.032e+04  4.430e-04  0.000e+00  4.430e-04  0.000e+00  3.371e-02
       473  9.583e+03  4.115e-04  0.000e+00  4.115e-04  0.000e+00  3.412e-02
       474  8.948e+03  3.842e-04  0.000e+00  3.842e-04  0.000e+00  3.451e-02
       475  8.393e+03  3.604e-04  0.000e+00  3.604e-04  0.000e+00  3.487e-02
       476  7.904e+03  3.394e-04  0.000e+00  3.394e-04  0.000e+00  3.520e-02
       477  7.469e+03  3.207e-04  0.000e+00  3.207e-04  0.000e+00  3.553e-02
       478  7.080e+03  3.040e-04  0.000e+00  3.040e-04  0.000e+00  3.583e-02
       479  6.731e+03  2.890e-04  0.000e+00  2.890e-04  0.000e+00  3.612e-02
       480  6.414e+03  2.754e-04  0.000e+00  2.754e-04  0.000e+00  3.639e-02
       481  6.126e+03  2.630e-04  0.000e+00  2.630e-04  0.000e+00  3.666e-02
       482  5.864e+03  2.518e-04  0.000e+00  2.518e-04  0.000e+00  3.691e-02
       483  5.623e+03  2.414e-04  0.000e+00  2.414e-04  0.000e+00  3.715e-02
